Ordem;Tentativa;Modelo;SupEsq;SupDir;InfEsq;InfDir;Reforco;Correta;Escolheu;Acertou;RespVerb;TempoInic;TempoFin;Procedimento;Bloco;Participante ;Data
01;B1A1;/static/MtsApp/img/B1.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A1.jpg;1;3;0;;;0;0;;;;
02;B2A2;/static/MtsApp/img/B2.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/vazio.jpg;1;2;0;;;0;0;;;;
03;B3A3;/static/MtsApp/img/B3.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;1;3;0;;;0;0;;;;
04;B1A1;/static/MtsApp/img/B1.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A2.jpg;1;4;0;;;0;0;;;;
05;B1A1;/static/MtsApp/img/B1.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A3.jpg;1;1;0;;;0;0;;;;
06;B1A1;/static/MtsApp/img/B1.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/A1.jpg;1;3;0;;;0;0;;;;
07;B2A2;/static/MtsApp/img/B2.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/vazio.jpg;1;1;0;;;0;0;;;;
08;B2A2;/static/MtsApp/img/B2.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/A1.jpg;1;2;0;;;0;0;;;;
09;B2A2;/static/MtsApp/img/B2.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;1;1;0;;;0;0;;;;
10;B3A3;/static/MtsApp/img/B3.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A2.jpg;1;2;0;;;0;0;;;;
11;B3A3;/static/MtsApp/img/B3.jpg;/static/MtsApp/img/vazio.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;1;3;0;;;0;0;;;;
12;B3A3;/static/MtsApp/img/B3.jpg;/static/MtsApp/img/A2.jpg;/static/MtsApp/img/A1.jpg;/static/MtsApp/img/A3.jpg;/static/MtsApp/img/vazio.jpg;1;4;0;;;0;0;;;;
